pid,title,brand,category,sub_category,description,actual_price,average_rating,discount,selling_price,Color,Ideal For,Maximum Age,Minimum Age,Occasion,Season,Size,Suitable For,Type,Style,images,url
TKPFCZ9EA7H5FYZH,Solid Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","2,999",3.9,69% off,921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/z/y/n/m-1005combo2-yorker-original-imafczg3xfh5qqd4.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/w/d/a/l-1005combo8-yorker-original-imafczg3pgtxgraq.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itmd2c76aadce459?pid=TKPFCZ9EA7H5FYZH&lid=LSTTKPFCZ9EA7H5FYZHVYXWP0&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EA7H5FYZH.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFCZ9EJZV2UVRZ,Solid Men Blue Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","1,499",3.9,66% off,499,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/kfyasnk0/track-pant/g/5/y/s-19876-yorker-original-imafwamyzrwjynkf.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kfyasnk0/track-pant/g/5/y/s-19876-yorker-original-imafwamynyeuu5zq.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-blue-track-pants/p/itmfczez7v6rzwer?pid=TKPFCZ9EJZV2UVRZ&lid=LSTTKPFCZ9EJZV2UVRZ9HEITU&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EJZV2UVRZ.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFCZ9EHFCY5Z4Y,Solid Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","2,999",3.9,68% off,931,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/e/c/s/xl-1005combo4-yorker-original-imafczgcc8t8uppk.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/f/s/v/m-1005combo9-yorker-original-imafczez7buydy6r.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itm1eee3ca648155?pid=TKPFCZ9EHFCY5Z4Y&lid=LSTTKPFCZ9EHFCY5Z4YDOVNQS&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EHFCY5Z4Y.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFCZ9ESZZ7YWEF,Solid Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","2,999",3.9,69% off,911,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/w/e/f/xl-1005combo3-yorker-original-imafczezgq8ntn7c.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/8/n/h/xxl-1005dskin-yorker-original-imafczezeauspu2a.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itma2f9bfe7dafb7?pid=TKPFCZ9ESZZ7YWEF&lid=LSTTKPFCZ9ESZZ7YWEFAZ1PUK&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9ESZZ7YWEF.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFCZ9EVXKBSUD7,"Solid Men Brown, Grey Track Pants",York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","2,999",3.9,68% off,943,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/d/w/b/l-1005combo1-yorker-original-imafczg3zcuajpgb.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/d/w/b/l-1005combo1-yorker-original-imafczg3yyz6zgab.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-brown-grey-track-pants/p/itm1a8387617b373?pid=TKPFCZ9EVXKBSUD7&lid=LSTTKPFCZ9EVXKBSUD7O1SCSG&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EVXKBSUD7.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFCZ9EFK9DNWDA,Solid Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","4,499",3.8,74% off,"1,169",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/w/d/a/m-1005combo8-yorker-original-imafczgcj7fh2rcx.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/w/d/a/l-1005combo8-yorker-original-imafczg3pgtxgraq.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itmd12f548703177?pid=TKPFCZ9EFK9DNWDA&lid=LSTTKPFCZ9EFK9DNWDAUSCZVB&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EFK9DNWDA.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFDABN3GXYPFHE,Solid Men Dark Blue Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","1,499",3.8,68% off,466,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jrjizrk0/track-pant/f/h/e/xl-1005navi-yorker-original-imafdb9hfsrefkyd.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jrjizrk0/track-pant/f/h/e/l-1005navi-yorker-original-imafczg3qwg7xhze.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-dark-blue-track-pants/p/itm3379005c3af06?pid=TKPFDABN3GXYPFHE&lid=LSTTKPFDABN3GXYPFHEUSICVD&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFDABN3GXYPFHE.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFCZ9ESGZYT8NH,Solid Men Beige Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","1,499",3.8,63% off,545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/8/n/h/xxl-1005dskin-yorker-original-imafczgcbc84trwn.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/8/n/h/xxl-1005dskin-yorker-original-imafczezeauspu2a.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-beige-track-pants/p/itm6fff81aa14a9a?pid=TKPFCZ9ESGZYT8NH&lid=LSTTKPFCZ9ESGZYT8NHBL36LH&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9ESGZYT8NH.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFCZ9DYU33FFXS,Solid Men Black Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","1,499",3.8,67% off,489,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/f/x/s/m-1005black-yorker-original-imafczg3jzvrxje2.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/f/x/s/s-1005black-yorker-original-imafczg3fgz3xhct.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-black-track-pants/p/itmfczg3ybt2wz5v?pid=TKPFCZ9DYU33FFXS&lid=LSTTKPFCZ9DYU33FFXSOVF3IQ&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9DYU33FFXS.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFDABN4NQFVKZY,Solid Men Grey Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","1,499",3.7,64% off,531,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/kihqz680-0/track-pant/c/h/b/xl-ep-tp1005-epoxy-original-imafdbjfg3f9hwtv.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kihqz680-0/track-pant/n/p/7/xl-ep-tp1005-epoxy-original-imafczg3jhusmjx6.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-grey-track-pants/p/itm68f2a4557acfa?pid=TKPFDABN4NQFVKZY&lid=LSTTKPFDABN4NQFVKZYOLSGIO&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFDABN4NQFVKZY.SEARCH&ssid=utkd4t3gb40000001612415717799
